name,state,state_code
University of Pennsylvania,Pennsylvania,PA
University of Pikeville,Kentucky,KY
University of Pittsburgh,Pennsylvania,PA
University of Pittsburgh at Bradford,Pennsylvania,PA
University of Pittsburgh at Greensburg,Pennsylvania,PA
University of Pittsburgh at Johnstown,Pennsylvania,PA
University of Pittsburgh at Titusville,Pennsylvania,PA
University of Portland,Oregon,OR
University of Puerto Rico: Aguadilla,,PR
University of Puerto Rico: Arecibo,,PR
University of Puerto Rico: Bayamon University College,,PR
University of Puerto Rico: Carolina Regional College,,PR
University of Puerto Rico: Humacao,,PR
University of Puerto Rico: Mayaguez,,PR
University of Puerto Rico: Medical Sciences,,PR
University of Puerto Rico: Ponce,,PR
University of Puerto Rico: Rio Piedras,,PR
University of Puerto Rico: Utuado,,PR
University of Puget Sound,Washington,WA
University of Redlands,California,CA
University of Rhode Island,Rhode Island,RI
University of Richmond,Virginia,VA
University of Rio Grande,Ohio,OH
University of Rochester,New York,NY
University of Saint Francis,Indiana,IN
University of Saint Joseph,Connecticut,CT
University of San Diego,California,CA
University of San Francisco,California,CA
University of Science and Arts of Oklahoma,Oklahoma,OK
University of Scranton,Pennsylvania,PA
University of Sioux Falls,South Dakota,SD
University of South Alabama,Alabama,AL
University of South Carolina: Aiken,South Carolina,SC
University of South Carolina: Beaufort,South Carolina,SC
University of South Carolina: Columbia,South Carolina,SC
University of South Carolina: Lancaster,South Carolina,SC
University of South Carolina: Salkehatchie,South Carolina,SC
University of South Carolina: Sumter,South Carolina,SC
University of South Carolina: Union,South Carolina,SC
University of South Carolina: Upstate,South Carolina,SC
University of South Dakota,South Dakota,SD
University of South Florida,Florida,FL
University of South Florida: Saint Petersburg,Florida,FL
University of South Florida: Sarasota-Manatee,Florida,FL
University of Southern California,California,CA
University of Southern Indiana,Indiana,IN
University of Southern Maine,Maine,ME
University of Southern Mississippi,Mississippi,MS
University of St. Francis,Illinois,IL
University of St. Mary,Kansas,KS
University of St. Thomas,Texas,TX
University of St. Thomas,Minnesota,MN
University of Tampa,Florida,FL
University of Tennessee: Chattanooga,Tennessee,TN
University of Tennessee: Knoxville,Tennessee,TN
University of Tennessee: Martin,Tennessee,TN
University of Texas at Arlington,Texas,TX
University of Texas at Austin,Texas,TX
University of Texas at Dallas,Texas,TX
University of Texas at El Paso,Texas,TX
University of Texas at San Antonio,Texas,TX
University of Texas at Tyler,Texas,TX
University of Texas Health Science Center at Houston,Texas,TX
University of Texas Medical Branch at Galveston,Texas,TX
University of Texas of the Permian Basin,Texas,TX
University Of Texas Rio Grande Valley,Texas,TX
University of the Arts,Pennsylvania,PA
University of the Cumberlands,Kentucky,KY
University of the District of Columbia,,DC
University of the Incarnate Word,Texas,TX
University of the Ozarks,Arkansas,AR
University of the Pacific,California,CA
University of the Sciences,Pennsylvania,PA
University of the Southwest,New Mexico,NM
University of the Virgin Islands,,VI
University of the West,California,CA
University of Toledo,Ohio,OH
University of Tulsa,Oklahoma,OK
University of Utah,Utah,UT
University of Valley Forge,Pennsylvania,PA
University of Vermont,Vermont,VT
University of Virginia,Virginia,VA
University of Virginia's College at Wise,Virginia,VA
University of Washington,Washington,WA
University of Washington Bothell,Washington,WA
University of Washington Tacoma,Washington,WA
University of West Alabama,Alabama,AL
University of West Florida,Florida,FL
University of West Georgia,Georgia,GA
University of Wisconsin-Baraboo/Sauk County,Wisconsin,WI
University of Wisconsin-Barron County,Wisconsin,WI
University of Wisconsin-Eau Claire,Wisconsin,WI
University of Wisconsin-Fond du Lac,Wisconsin,WI
University of Wisconsin-Green Bay,Wisconsin,WI
University of Wisconsin-La Crosse,Wisconsin,WI
University of Wisconsin-Madison,Wisconsin,WI
University of Wisconsin-Marathon County,Wisconsin,WI
University of Wisconsin-Marinette,Wisconsin,WI
University of Wisconsin-Marshfield/Wood County,Wisconsin,WI
University of Wisconsin-Milwaukee,Wisconsin,WI
University of Wisconsin-Oshkosh,Wisconsin,WI
University of Wisconsin-Parkside,Wisconsin,WI
University of Wisconsin-Platteville,Wisconsin,WI
University of Wisconsin-River Falls,Wisconsin,WI
University of Wisconsin-Stevens Point,Wisconsin,WI
University of Wisconsin-Stout,Wisconsin,WI
University of Wisconsin-Superior,Wisconsin,WI
University of Wisconsin-Washington County,Wisconsin,WI
University of Wisconsin-Waukesha,Wisconsin,WI
University of Wisconsin-Whitewater,Wisconsin,WI
University of Wyoming,Wyoming,WY
Upper Iowa University,Iowa,IA
Urban College of Boston,Massachusetts,MA
Urbana University,Ohio,OH
Ursinus College,Pennsylvania,PA
Ursuline College,Ohio,OH
Utah State University,Utah,UT
Utah Valley University,Utah,UT
Utica College,New York,NY
UW Colleges Fox Valley,Wisconsin,WI
UW Colleges Manitowoc,Wisconsin,WI
UW Colleges Richland,Wisconsin,WI
UW Colleges Rock County,Wisconsin,WI
UW Colleges Sheboygan,Wisconsin,WI
Valdosta State University,Georgia,GA
Valencia College,Florida,FL
Valley City State University,North Dakota,ND
Valley Forge Military College,Pennsylvania,PA
Valparaiso University,Indiana,IN
Vance-Granville Community College,North Carolina,NC
Vanderbilt University,Tennessee,TN
VanderCook College of Music,Illinois,IL
Vanguard University of Southern California,California,CA
Vassar College,New York,NY
Vaughn College of Aeronautics and Technology,New York,NY
Ventura College,California,CA
Vermilion Community College,Minnesota,MN
Vermont Technical College,Vermont,VT
Vernon College,Texas,TX
Victor Valley College,California,CA
Victoria College,Texas,TX
Villa Maria College of Buffalo,New York,NY
Villanova University,Pennsylvania,PA
Vincennes University,Indiana,IN
Virginia Baptist College,Virginia,VA
Virginia Commonwealth University,Virginia,VA
Virginia Highlands Community College,Virginia,VA
Virginia Marti College of Art and Design,Ohio,OH
Virginia Military Institute,Virginia,VA
Virginia Polytechnic Institute and State University,Virginia,VA
Virginia State University,Virginia,VA
Virginia Union University,Virginia,VA
Virginia University of Lynchburg,Virginia,VA
Virginia Wesleyan University,Virginia,VA
Virginia Western Community College,Virginia,VA
Visible Music College,Tennessee,TN
Viterbo University,Wisconsin,WI
Volunteer State Community College,Tennessee,TN
Voorhees College,South Carolina,SC
W.L. Bonner Bible College,South Carolina,SC
Wabash College,Indiana,IN
Wade College,Texas,TX
Wagner College,New York,NY
Wake Forest University,North Carolina,NC
Wake Technical Community College,North Carolina,NC
Walden University,Minnesota,MN
Waldorf University,Iowa,IA
Walla Walla Community College,Washington,WA
Walla Walla University,Washington,WA
Wallace State Community College at Hanceville,Alabama,AL
Walsh College of Accountancy and Business Administration,Michigan,MI
Walsh University,Ohio,OH
Walters State Community College,Tennessee,TN
Warner Pacific University,Oregon,OR
Warner University,Florida,FL
Warren County Community College,New Jersey,NJ
Warren Wilson College,North Carolina,NC
Wartburg College,Iowa,IA
Washburn University,Kansas,KS
Washington & Jefferson College,Pennsylvania,PA
Washington Adventist University,Maryland,MD
Washington and Lee University,Virginia,VA
Washington College,Maryland,MD
Washington County Community College,Maine,ME
Washington State Community College,Ohio,OH
Washington State University,Washington,WA
Washington University in St. Louis,Missouri,MO
Washtenaw Community College,Michigan,MI
"Watkins College of Art, Design & Film",Tennessee,TN
Waubonsee Community College,Illinois,IL
Waukesha County Technical College,Wisconsin,WI
Wayland Baptist University,Texas,TX
Wayne Community College,North Carolina,NC
Wayne County Community College,Michigan,MI
Wayne State College,Nebraska,NE
Wayne State University,Michigan,MI
Waynesburg University,Pennsylvania,PA
Weatherford College,Texas,TX
Webb Institute,New York,NY
Webber International University,Florida,FL
Weber State University,Utah,UT
Webster University,Missouri,MO
Welch College,Tennessee,TN
Wellesley College,Massachusetts,MA
Wells College,New York,NY
Wenatchee Valley College,Washington,WA
Wentworth Institute of Technology,Massachusetts,MA
Wentworth Military Junior College,Missouri,MO
Wesley College,Delaware,DE
Wesleyan College,Georgia,GA
Wesleyan University,Connecticut,CT
West Chester University of Pennsylvania,Pennsylvania,PA
West Georgia Technical College,Georgia,GA
West Hills College: Coalinga,California,CA
West Hills College: Lemoore,California,CA
West Kentucky Community and Technical College,Kentucky,KY
West Liberty University,West Virginia,WV
West Los Angeles College,California,CA
West Shore Community College,Michigan,MI
West Texas A&M University,Texas,TX
West Valley College,California,CA
West Virginia Northern Community College,West Virginia,WV
West Virginia State University,West Virginia,WV
West Virginia University,West Virginia,WV
West Virginia University at Parkersburg,West Virginia,WV
West Virginia University Institute of Technology,West Virginia,WV
West Virginia Wesleyan College,West Virginia,WV
Westchester Community College,New York,NY
Western Carolina University,North Carolina,NC
Western Connecticut State University,Connecticut,CT
Western Dakota Technical Institute,South Dakota,SD
Western Governors University,Utah,UT
Western Illinois University,Illinois,IL
Western Iowa Tech Community College,Iowa,IA
Western Kentucky University,Kentucky,KY
Western Michigan University,Michigan,MI
Western Nebraska Community College,Nebraska,NE
Western Nevada College,Nevada,NV
Western New England University,Massachusetts,MA
Western New Mexico University,New Mexico,NM
Western Oklahoma State College,Oklahoma,OK
Western Oregon University,Oregon,OR
Western Piedmont Community College,North Carolina,NC
Western State Colorado University,Colorado,CO
Western Technical College,Wisconsin,WI
Western Texas College,Texas,TX
Western Washington University,Washington,WA
Western Wyoming Community College,Wyoming,WY
Westfield State University,Massachusetts,MA
Westminster College,Utah,UT
Westminster College,Pennsylvania,PA
Westminster College,Missouri,MO
Westmont College,California,CA
Westmoreland County Community College,Pennsylvania,PA
Wharton County Junior College,Texas,TX
Whatcom Community College,Washington,WA
Wheaton College,Massachusetts,MA
Wheaton College,Illinois,IL
Wheeling Jesuit University,West Virginia,WV
White Earth Tribal and Community College,Minnesota,MN
White Mountains Community College,New Hampshire,NH
Whitman College,Washington,WA
Whittier College,California,CA
Whitworth University,Washington,WA
Wichita Area Technical College,Kansas,KS
Wichita State University,Kansas,KS
Widener University,Pennsylvania,PA
Wilberforce University,Ohio,OH
Wiley College,Texas,TX
Wilkes Community College,North Carolina,NC
Wilkes University,Pennsylvania,PA
Willamette University,Oregon,OR
William Carey University,Mississippi,MS
William Jessup University,California,CA
William Jewell College,Missouri,MO
William Paterson University of New Jersey,New Jersey,NJ
William Peace University,North Carolina,NC
William Penn University,Iowa,IA
William Woods University,Missouri,MO
Williams Baptist University,Arkansas,AR
Williams College,Massachusetts,MA
Williamsburg Technical College,South Carolina,SC
Williamson College,Tennessee,TN
Williston State College,North Dakota,ND
Wilmington College,Ohio,OH
Wilmington University,Delaware,DE
Wilson College,Pennsylvania,PA
Wilson Community College,North Carolina,NC
Wingate University,North Carolina,NC
Winona State University,Minnesota,MN
Winston-Salem State University,North Carolina,NC
Winthrop University,South Carolina,SC
Wiregrass Georgia Technical College,Georgia,GA
Wisconsin Indianhead Technical College,Wisconsin,WI
Wisconsin Lutheran College,Wisconsin,WI
Wittenberg University,Ohio,OH
Wofford College,South Carolina,SC
Woodbury University,California,CA
Woodland Community College,California,CA
Wor-Wic Community College,Maryland,MD
Worcester Polytechnic Institute,Massachusetts,MA
Worcester State University,Massachusetts,MA
World Mission University,California,CA
Wright State University,Ohio,OH
Wright State University: Lake Campus,Ohio,OH
Wytheville Community College,Virginia,VA
Xavier University,Ohio,OH
Xavier University of Louisiana,Louisiana,LA
Yakima Valley College,Washington,WA
Yale University,Connecticut,CT
Yavapai College,Arizona,AZ
Yeshiva and Kolel Bais Medrash Elyon,New York,NY
Yeshiva Beth Yehuda-Yeshiva Gedolah of Greater Detroit,Michigan,MI
Yeshiva College of the Nations Capital,Maryland,MD
Yeshiva D'Monsey Rabbinical College,New York,NY
Yeshiva Derech Chaim,New York,NY
Yeshiva Gedolah Imrei Yosef D'Spinka,New York,NY
Yeshiva Gedolah Rabbinical College,Florida,FL
Yeshiva Karlin Stolin,New York,NY
Yeshiva of Nitra,New York,NY
Yeshiva Ohr Elchonon Chabad/West Coast Talmudical Seminary,California,CA
Yeshiva Shaar Hatorah,New York,NY
Yeshiva Shaarei Torah of Rockland,New York,NY
Yeshiva University,New York,NY
Yeshivath Beth Moshe,Pennsylvania,PA
Yeshivath Viznitz,New York,NY
York College,Nebraska,NE
York College of Pennsylvania,Pennsylvania,PA
York County Community College,Maine,ME
York Technical College,South Carolina,SC
Young Harris College,Georgia,GA
Youngstown State University,Ohio,OH
Yuba College,California,CA
Zane State College,Ohio,OH
